gene_oid	gene_length	superfam_id	db_name	percent_identity	query_start	query_end	evalue	bit_score	align_length
2930958173	254	SM01245	SMART	100	3	54	9.3e-21	67.6	52
2930958173	254	SM00393	SMART	90.36	178	254	2.5e-18	59.7	77
2930958174	464	SM00382	SMART	23.91	224	357	1.1e-04	15.7	134
2930958175	636	SM01228	SMART	98.61	554	625	7.5e-41	132.8	72
2930958187	154	SM00347	SMART	95.05	27	127	5.3e-22	71.4	101
2930958195	51	SM01398	SMART	15.79	12	51	3.2e-03	10	40
2930958196	485	SM00155	SMART	90	217	244	3.2e-17	55.2	28
2930958196	485	SM00155	SMART	96.67	398	425	3.2e-17	55.2	28
2930958197	301	SM00342	SMART	95.24	200	282	3.8e-22	71.9	83
2930958208	311	SM00382	SMART	86.96	31	218	1.3e-15	51.1	188
2930958209	176	SM00419	SMART	66	52	99	2.5e-05	17.3	48
2930958209	176	SM00569	SMART	51.61	107	150	8.1e-04	13	44
2930958219	253	SM00342	SMART	78.57	180	246	9.3e-24	77.2	67
2930958222	422	SM00818	SMART	25.67	248	344	2.6e+00	.1	97
2930958222	422	SM00818	SMART	9.09	350	394	2.6e+00	.1	45
2930958225	285	SM00185	SMART	60.53	224	260	1.8e-03	12	37
2930958228	321	SM01038	SMART	99.68	17	316	1.0e-102	337.7	300
2930958229	379	SM00382	SMART	95.65	30	213	1.2e-15	51.2	184
2930958238	67	SM00530	SMART	98.21	4	59	1.7e-18	60	56
2930958239	387	SM00382	SMART	65.22	38	261	1.1e-08	28.7	224
2930958240	212	SM01057	SMART	5.8	5	36	5.2e-37	120.5	32
2930958240	212	SM01057	SMART	69.97	51	206	5.2e-37	120.5	156
2930958243	205	SM01266	SMART	96.92	4	58	9.9e-20	64.3	55
2930958249	651	SM00889	SMART	97.89	392	504	4.8e-26	84.9	113
2930958249	651	SM00838	SMART	73.86	511	593	2.0e-07	23.5	83
2930958252	230	SM00345	SMART	98.33	13	74	2.7e-15	49.5	62
2930958259	239	SM00934	SMART	100	3	230	9.4e-80	261.9	228
2930958263	287	SM00342	SMART	94.05	191	272	1.2e-21	70.4	82
2930958272	52	SM00834	SMART	35.56	5	30	1.2e-04	15.2	26
2930958272	52	SM00834	SMART	17.78	35	51	1.2e-04	15.2	17
2930958275	418	SM00363	SMART	76.19	359	413	1.0e-09	31.7	55
2930958285	295	SM00347	SMART	19.8	15	87	7.4e-05	15.5	73
2930958286	543	SM01274	SMART	98.91	69	251	5.3e-84	275.8	183
2930958286	543	SM00919	SMART	99.33	261	517	1.1e-106	350.7	257
2930958292	227	SM00382	SMART	77.17	32	220	5.1e-18	58.9	189
2930958300	226	SM00100	SMART	86.18	18	133	1.4e-17	57.1	116
2930958303	128	SM00418	SMART	67.09	23	91	4.1e-04	13	69
2930958307	140	SM00422	SMART	98.61	3	72	2.3e-22	72.3	70
2930958309	557	SM00642	SMART	100	13	425	0.0e+00	514.4	413
2930958311	332	SM00354	SMART	94.44	2	72	7.5e-25	80.4	71
2930958322	277	SM00855	SMART	95.89	40	227	3.0e-16	53.2	188
2930958333	53	SM01381	SMART	9.51	5	52	7.3e-03	7.3	48
2930958339	259	SM00382	SMART	93.48	37	220	3.0e-20	66.1	184
2930958341	465	SM00345	SMART	93.33	17	76	1.3e-22	73.2	60
2930958346	325	SM00354	SMART	100	4	74	3.0e-32	104.6	71
2930958350	564	SM00564	SMART	36.36	213	224	3.3e-03	11.1	12
2930958350	564	SM00564	SMART	81.82	364	393	3.3e-03	11.1	30
2930958357	120	SM00530	SMART	98.21	8	63	6.7e-22	70.9	56
2930958365	150	SM00347	SMART	79.21	28	118	2.2e-17	56.3	91
2930958377	139	SM00530	SMART	100	5	70	8.9e-14	44.8	66
2930958381	535	SM00322	SMART	88.89	205	273	7.6e-08	25.8	69
2930958381	535	SM00471	SMART	94.92	330	436	1.1e-15	50.6	107
2930958382	439	SM00382	SMART	93.48	51	165	2.6e-16	53.4	115
2930958385	241	SM00422	SMART	97.22	4	72	3.2e-25	81.7	69
2930958385	241	SM00714	SMART	59.74	156	200	1.4e-01	5.3	45
2930958385	241	SM00714	SMART	10.39	219	230	1.4e-01	5.3	12
2930958388	164	SM00422	SMART	98.61	3	72	1.1e-23	76.7	70
2930958391	216	SM00382	SMART	79.35	32	210	1.2e-17	57.8	179
2930958397	641	SM00382	SMART	96.74	32	226	2.0e-18	60.3	195
2930958414	126	SM00347	SMART	87.13	34	123	4.5e-11	35.8	90
2930958426	278	SM00470	SMART	100	26	116	6.9e-32	104.3	91
2930958427	255	SM00382	SMART	48.91	12	168	2.3e-04	14.8	157
2930958428	294	SM00470	SMART	97.12	30	122	3.3e-33	108.6	93
2930958430	366	SM00382	SMART	34.78	3	152	4.5e-04	13.8	150
2930958433	379	SM01240	SMART	100	11	367	0.0e+00	784.4	357
2930958434	229	SM00448	SMART	100	1	112	5.1e-45	147.5	112
2930958435	388	SM00304	SMART	66.04	96	141	3.5e-03	11.3	46
2930958435	388	SM00388	SMART	97.75	149	216	5.0e-17	56.2	68
2930958435	388	SM00387	SMART	99.23	262	374	1.4e-37	122.9	113
2930958436	439	SM00936	SMART	100	317	424	4.0e-14	46.1	108
2930958445	396	SM00248	SMART	63.33	353	379	8.0e-04	13.4	27
2930958446	303	SM00028	SMART	52.94	33	64	8.7e-02	6.7	32
2930958450	230	SM00855	SMART	100	3	189	3.2e-29	95.5	187
2930958457	388	SM00966	SMART	68.09	4	44	4.3e-04	13.9	41
2930958461	276	SM00448	SMART	94.67	1	114	1.7e-21	70.3	114
2930958462	432	SM00387	SMART	93.08	314	425	5.7e-18	58.6	112
2930958469	226	SM00100	SMART	97.56	19	137	2.0e-09	30.6	119
2930958469	226	SM00419	SMART	72	181	224	2.2e-07	24	44
2930958490	231	SM01418	SMART	47.06	3	39	1.3e-02	9	37
2930958490	231	SM00287	SMART	26.09	176	224	9.0e-02	6.1	49
2930958499	124	SM00345	SMART	100	13	72	4.5e-20	65.1	60
2930958500	236	SM00382	SMART	68.48	29	214	2.9e-15	50.1	186
2930958504	177	SM00347	SMART	91.09	40	133	3.3e-25	81.9	94
2930958505	587	SM00382	SMART	80.43	375	564	1.4e-16	54.3	190
2930958509	574	SM00014	SMART	86.34	174	290	2.0e-11	37.1	117
2930958515	550	SM00382	SMART	83.7	31	223	1.5e-28	93.1	193
2930958515	550	SM00382	SMART	73.91	326	506	1.5e-28	93.1	181
2930958519	307	SM00342	SMART	98.81	177	260	1.2e-33	109.5	84
2930958526	133	SM00347	SMART	72.28	26	112	6.0e-11	35.4	87
2930958528	142	SM00422	SMART	98.61	6	74	1.7e-28	92.4	69
2930958532	316	SM00641	SMART	16.26	38	63	3.0e-03	10.5	26
2930958532	316	SM00641	SMART	51.22	161	227	3.0e-03	10.5	67
2930958536	1049	SM00382	SMART	21.74	27	94	1.3e-05	18.8	68
2930958536	1049	SM00382	SMART	44.57	802	1049	1.3e-05	18.8	248
2930958539	34	SM00243	SMART	26.32	3	26	9.5e-03	8.3	24
2930958543	354	SM00382	SMART	95.65	35	238	1.2e-17	57.7	204
2930958543	354	SM00930	SMART	98.82	271	346	5.5e-31	100.7	76
2930958554	379	SM00478	SMART	98.88	44	195	3.1e-52	171.1	152
2930958558	67	SM00357	SMART	98.57	3	66	6.1e-33	107.3	64
2930958559	79	SM01117	SMART	98.41	6	78	5.8e-15	49.1	73
2930958560	328	SM00421	SMART	52.63	3	44	5.9e-05	15.8	42
2930958561	49	SM00461	SMART	30.65	9	47	4.6e-03	9.7	39
2930958572	202	SM01266	SMART	100	5	57	1.1e-16	54.5	53
2930958578	284	SM00530	SMART	91.07	6	59	1.3e-11	37.9	54
2930958578	284	SM00028	SMART	70.59	150	178	2.1e-04	15	29
2930958584	147	SM01022	SMART	99.3	25	147	4.2e-41	135	123
2930958587	112	SM00418	SMART	96.2	16	97	5.4e-21	68	82
2930958589	321	SM00893	SMART	88.31	6	188	4.6e-37	121.3	183
2930958589	321	SM00893	SMART	6.93	215	237	4.6e-37	121.3	23
2930958590	264	SM00893	SMART	98.27	22	215	2.3e-59	194.7	194
2930958608	167	SM00347	SMART	82.18	28	122	3.5e-18	58.9	95
2930958615	356	SM00644	SMART	97.79	58	197	1.3e-36	119.9	140
2930958615	356	SM00456	SMART	67.65	270	295	2.0e+00	2.2	26
2930958623	870	SM00220	SMART	11.26	244	372	6.7e-05	14.4	129
2930958623	870	SM00220	SMART	9.96	391	475	6.7e-05	14.4	85
2930958624	529	SM00382	SMART	95.65	347	529	5.2e-16	52.4	183
