gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2930950021	452	99.77	8	448	1	432	0.0e+00	550.1	COG0593	Chromosomal replication initiation ATPase DnaA	408
2930950022	379	100	1	378	1	365	1.5e-109	360	COG0592	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	364
2930950023	75	87.67	1	72	3	66	1.1e-28	92.3	COG2501	Ribosome-associated protein YbcJ, S4-like RNA binding protein	73
2930950024	384	99.45	1	370	1	361	1.8e-127	418.8	COG1195	Recombinational DNA repair ATPase RecF	363
2930950025	647	99.38	10	647	2	638	0.0e+00	957.4	COG0187	DNA gyrase/topoisomerase IV, subunit B	635
2930950026	844	98.89	2	812	9	812	0.0e+00	1147.2	COG0188	DNA gyrase/topoisomerase IV, subunit A	804
2930950027	98	83.04	4	98	2	94	9.9e-32	102.7	COG0360	Ribosomal protein S6	112
2930950028	188	99.42	1	188	2	171	2.9e-52	169	COG0629	Single-stranded DNA-binding protein	167
2930950029	78	83.54	1	72	14	79	3.6e-31	101.2	COG0238	Ribosomal protein S18	75
2930950030	211	46.93	1	211	209	399	3.1e-43	141.7	COG1228	Imidazolonepropionase or related amidohydrolase	406
2930950031	184	32.43	10	177	42	173	2.1e-12	40.1	COG1228	Imidazolonepropionase or related amidohydrolase	406
2930950032	535	98.78	1	535	5	571	7.7e-99	325.3	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930950034	47	10.81	1	47	354	397	3.7e-09	29.6	COG1228	Imidazolonepropionase or related amidohydrolase	406
2930950035	356	74.69	18	338	36	339	1.2e-49	162.5	COG1228	Imidazolonepropionase or related amidohydrolase	406
2930950036	533	98.95	1	533	4	571	2.3e-102	337	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930950037	188	51.2	2	185	16	122	8.3e-17	55.1	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2930950039	671	98.78	10	668	4	650	0.0e+00	759.9	COG3887	c-di-AMP phosphodiesterase, consists of a GGDEF-like and DHH domains	655
2930950040	152	99.32	1	151	1	147	3.9e-53	173.1	COG0359	Ribosomal protein L9	148
2930950042	462	99.54	9	457	2	435	0.0e+00	575.2	COG0305	Replicative DNA helicase	435
2930950043	179	76.06	1	174	1	162	1.8e-21	69.5	COG0655	Multimeric flavodoxin WrbA	207
2930950044	391	49.09	195	386	4	191	5.6e-19	33.9	COG0477	MFS family permease	338
2930950044	391	67.62	3	238	5	263	5.6e-19	31.9	COG0477	MFS family permease	338
2930950045	89	41.34	2	88	69	142	9.5e-05	15.8	COG3134	Uncharacterized conserved protein YcfJ, contains glycine zipper 2TM domain	179
2930950047	536	98.43	1	536	7	571	4.7e-100	329.3	COG4166	ABC-type oligopeptide transport system, periplasmic component	562
2930950051	238	99.57	3	234	1	231	2.4e-90	295.4	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	229
2930950052	618	99.13	152	617	5	459	0.0e+00	633.4	COG5002	Signal transduction histidine kinase	459
2930950053	433	95.9	2	432	8	428	7.4e-36	117	COG4863	Two-component signal transduction system YycFG, regulatory protein YycH	439
2930950054	284	99.62	1	269	1	263	8.7e-33	107.2	COG4853	Two-component signal transduction system YycFG, regulatory protein YycI	264
2930950055	275	98.9	10	261	3	272	1.5e-53	175.2	COG1235	Phosphoribosyl 1,2-cyclic phosphodiesterase	269
2930950056	279	53.15	34	278	21	214	1.0e-48	159.6	COG0265	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain	347
2930950057	168	39.73	1	159	216	360	8.8e-39	127	COG0265	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain	347
2930950058	159	100	1	159	1	156	5.4e-59	192.3	COG1576	23S rRNA pseudoU1915 N3-methylase RlmH	155
2930950061	309	97.54	1	308	7	323	7.7e-76	248.9	COG2826	Transposase and inactivated derivatives, IS30 family	318
2930950063	627	93.94	16	609	16	511	2.0e-88	290.7	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family	517
