gene_oid	gene_length	superfam_id	db_name	percent_identity	query_start	query_end	evalue	bit_score	align_length
2930939444	451	52540	SuperFamily	96.24	114	328	5.3e-44	143.7	215
2930939444	451	48295	SuperFamily	90	345	451	1.2e-36	118.1	107
2930939445	379	55979	SuperFamily	99.17	1	127	1.3e-64	208.2	127
2930939445	379	55979	SuperFamily	97.5	132	253	1.3e-64	208.2	122
2930939445	379	55979	SuperFamily	91.67	263	379	1.3e-64	208.2	117
2930939447	75	55174	SuperFamily	82.28	1	69	3.9e-19	61.2	69
2930939448	384	52540	SuperFamily	97.66	1	376	9.7e-46	150.6	376
2930939449	647	55874	SuperFamily	97.18	14	231	2.1e-68	222.9	218
2930939449	647	54211	SuperFamily	99.42	235	406	1.6e-63	206.2	172
2930939449	647	52540	SuperFamily	46.45	462	626	1.8e-03	12.5	165
2930939450	844	56719	SuperFamily	99.79	32	489	0.0e+00	597.1	458
2930939450	844	101904	SuperFamily	97.52	501	826	3.8e-105	344.6	326
2930939451	306	46689	SuperFamily	40.4	11	61	8.7e-07	23	51
2930939451	306	46689	SuperFamily	65.66	52	124	8.7e-07	23	73
2930939451	306	53098	SuperFamily	89.94	153	304	6.7e-28	91.3	152
2930939452	98	54995	SuperFamily	89.62	1	98	2.0e-31	101.3	98
2930939453	190	50249	SuperFamily	65.8	1	156	2.1e-52	172	156
2930939454	78	46911	SuperFamily	90.24	1	78	1.8e-30	97.5	78
2930939455	145	51556	SuperFamily	33.87	1	106	3.4e-24	80.2	106
2930939456	92	51556	SuperFamily	31.35	1	91	3.5e-24	80.2	91
2930939457	82	51556	SuperFamily	24.09	9	82	2.7e-15	51.1	74
2930939458	510	53850	SuperFamily	89.56	23	508	1.5e-90	297.8	486
2930939460	423	48695	SuperFamily	29.91	1	114	9.4e-03	9	114
2930939460	423	46785	SuperFamily	57.89	111	153	3.3e-03	11.4	43
2930939460	423	47661	SuperFamily	66.04	299	394	6.2e-03	10.8	96
2930939461	47	51338	SuperFamily	49.48	1	46	9.1e-06	19.6	46
2930939462	96	51556	SuperFamily	20.32	2	87	1.7e-10	35.2	86
2930939463	183	51338	SuperFamily	97.94	2	104	1.2e-16	54.2	103
2930939464	533	53850	SuperFamily	97.1	21	533	3.0e-97	319.9	513
2930939465	341	46689	SuperFamily	36.59	9	144	1.4e-04	15.6	136
2930939465	341	53098	SuperFamily	89.94	191	340	1.3e-25	83.9	150
2930939466	150	46689	SuperFamily	92.31	1	77	7.0e-17	54.5	77
2930939467	85	51905	SuperFamily	49.21	5	84	1.7e-03	12.3	80
2930939468	671	55073	SuperFamily	92.59	162	312	1.7e-05	18.4	151
2930939468	671	64182	SuperFamily	99.67	348	657	1.6e-70	231.4	310
2930939469	152	55658	SuperFamily	98.28	1	58	5.5e-17	53.7	58
2930939469	152	55653	SuperFamily	96.81	56	151	1.7e-28	91.9	96
2930939470	72	103473	SuperFamily	7.91	2	66	8.4e-03	8.9	65
2930939472	462	48024	SuperFamily	97.37	8	121	3.6e-39	126.4	114
2930939472	462	52540	SuperFamily	95.87	182	449	1.5e-49	162.4	268
2930939473	172	46689	SuperFamily	88.62	1	120	7.5e-10	32.5	120
2930939474	146	53098	SuperFamily	86.79	1	146	2.0e-27	89.7	146
2930939475	179	52218	SuperFamily	88.36	1	177	7.7e-30	97.9	177
2930939476	391	103473	SuperFamily	95.44	3	389	1.5e-45	149.4	387
2930939480	536	53850	SuperFamily	96.13	20	536	2.3e-106	349.9	517
2930939481	452	53098	SuperFamily	78.69	21	437	2.4e-47	155.9	417
2930939482	79	55347	SuperFamily	18.12	1	79	1.6e-03	11.8	79
2930939483	333	55486	SuperFamily	85.12	23	186	7.3e-18	58.8	164
2930939484	177	57701	SuperFamily	32.31	12	74	3.0e-01	4.7	63
2930939484	177	88659	SuperFamily	54.93	70	125	2.2e-05	18	56
2930939485	143	53098	SuperFamily	41.77	7	143	2.4e-03	11	137
2930939486	123	48150	SuperFamily	34.76	20	121	3.7e-04	13.9	102
2930939490	238	52172	SuperFamily	81.05	1	135	4.3e-44	142.7	135
2930939490	238	46894	SuperFamily	95.28	127	233	8.3e-33	105.7	107
2930939491	618	103190	SuperFamily	72.79	40	182	3.4e-05	17.7	143
2930939491	618	55785	SuperFamily	96.92	250	369	4.4e-14	46.4	120
2930939491	618	55874	SuperFamily	96.84	433	616	1.2e-51	167.9	184
2930939493	284	49401	SuperFamily	38.3	51	154	2.7e+00	2	104
2930939494	273	56281	SuperFamily	95.13	11	252	5.2e-40	131.7	242
2930939495	447	50494	SuperFamily	98.59	87	329	3.9e-54	176.7	243
2930939495	447	50156	SuperFamily	97	331	432	7.1e-18	57.6	102
2930939496	159	75217	SuperFamily	100	1	157	1.6e-60	196.7	157
2930939498	285	46689	SuperFamily	47.97	31	120	3.5e-07	23.9	90
2930939498	285	53098	SuperFamily	87.42	130	281	1.8e-30	99.7	152
2930939499	118	48150	SuperFamily	34.76	13	116	3.8e-04	13.8	104
2930939500	143	53098	SuperFamily	41.77	7	143	2.4e-03	11	137
2930939501	97	46689	SuperFamily	89.36	1	88	1.2e-13	44.7	88
2930939502	110	82057	SuperFamily	90.7	29	106	1.1e-05	19.5	78
2930939503	216	82057	SuperFamily	73.26	1	72	5.3e-07	23.7	72
2930939503	216	54001	SuperFamily	86.49	72	214	3.2e-26	85.2	143
2930939504	497	52540	SuperFamily	76.16	2	222	8.3e-75	244.6	221
2930939504	497	52540	SuperFamily	75.09	279	495	8.3e-75	244.6	217
2930939505	205	48317	SuperFamily	29.46	3	94	3.2e+00	1.4	92
2930939505	205	48317	SuperFamily	22.32	106	200	3.2e+00	1.4	95
2930939506	136	46785	SuperFamily	97.81	1	136	4.6e-34	110.2	136
2930939507	324	53474	SuperFamily	78.21	19	321	4.6e-61	201	303
2930939508	314	101478	SuperFamily	95.68	3	309	6.8e-48	157.2	307
2930939509	114	51161	SuperFamily	52.5	3	110	2.6e-12	40.2	108
2930939510	56	51161	SuperFamily	17.56	1	53	6.0e-19	62.6	53
2930939511	104	51735	SuperFamily	44.94	19	101	1.3e-03	13.1	83
2930939513	143	55729	SuperFamily	96.15	1	143	1.7e-21	70.7	143
2930939514	170	54611	SuperFamily	50	1	96	7.4e-03	10.5	96
2930939515	250	53850	SuperFamily	44.49	1	247	6.1e-45	147.5	247
2930939516	329	46689	SuperFamily	84.55	1	121	5.6e-09	29.7	121
2930939516	329	53098	SuperFamily	93.08	175	329	7.9e-32	104	155
2930939517	264	53850	SuperFamily	44.49	29	264	1.2e-61	202.6	236
2930939518	211	46689	SuperFamily	70.45	1	79	2.5e-13	43.3	79
2930939520	167	46955	SuperFamily	85.83	4	121	1.7e-31	102.2	118
2930939521	313	81296	SuperFamily	10.53	42	92	3.3e-03	11.1	51
2930939521	313	81296	SuperFamily	25.44	193	276	3.3e-03	11.1	84
2930939522	282	117892	SuperFamily	99.3	33	165	1.9e-28	92.4	133
2930939523	109	47598	SuperFamily	77.27	3	66	3.1e-13	42.8	64
2930939524	245	88645	SuperFamily	25.66	34	232	6.2e-03	9.4	199
2930939526	423	48695	SuperFamily	29.91	1	114	9.4e-03	9	114
2930939526	423	46785	SuperFamily	57.89	111	153	3.3e-03	11.4	43
2930939526	423	47661	SuperFamily	66.04	299	394	6.2e-03	10.8	96
2930939528	117	103473	SuperFamily	26.86	3	117	5.4e-02	6.2	115
2930939529	81	54637	SuperFamily	52.41	1	81	3.7e-15	50	81
2930939530	273	52096	SuperFamily	94.95	1	273	4.9e-77	252.2	273
2930939531	112	56801	SuperFamily	17.5	1	111	4.4e-19	62	111
2930939532	172	56801	SuperFamily	28.28	1	172	9.9e-32	103.9	172
2930939533	198	56801	SuperFamily	32.97	1	197	4.9e-59	194.1	197
2930939534	180	53756	SuperFamily	26.75	5	175	2.2e-02	7.8	171
2930939535	314	53150	SuperFamily	70.59	44	162	2.4e-03	11.7	119
2930939536	504	53623	SuperFamily	95.95	69	357	1.1e-40	133.4	289
2930939536	504	53244	SuperFamily	94.38	342	501	7.5e-35	113.7	160
2930939537	502	50249	SuperFamily	99.31	10	153	7.0e-45	145.4	144
2930939537	502	55681	SuperFamily	99.71	160	500	5.1e-117	384.4	341
2930939538	393	103473	SuperFamily	94.96	2	391	5.3e-36	118	390
2930939541	250	51735	SuperFamily	79.93	2	249	6.6e-54	176.4	248
2930939542	185	46689	SuperFamily	88.89	4	73	5.7e-10	32.6	70
2930939543	211	51735	SuperFamily	97.56	1	211	2.1e-23	77.1	211
2930939544	196	46689	SuperFamily	87.32	2	68	6.5e-12	38.8	67
2930939546	479	53383	SuperFamily	96.67	10	461	2.3e-106	349.8	452
2930939547	503	52374	SuperFamily	99.67	10	325	1.3e-102	336.5	316
2930939547	503	48163	SuperFamily	99.39	326	501	1.1e-22	75.1	176
2930939549	304	46894	SuperFamily	48.45	107	172	4.6e-04	14.1	66
2930939549	304	46894	SuperFamily	44.33	186	235	4.6e-04	14.1	50
2930939553	428	118215	SuperFamily	100	11	407	3.3e-120	395.2	397
2930939556	187	52833	SuperFamily	88.58	1	187	8.6e-59	191.9	187
2930939558	215	51735	SuperFamily	92.61	1	210	1.6e-36	119.6	210
2930939560	211	81442	SuperFamily	34.05	3	160	1.0e+00	2.2	158
2930939561	480	51735	SuperFamily	93.75	4	180	2.7e-52	170.3	177
2930939561	480	48179	SuperFamily	98.99	180	480	1.6e-123	405	301
2930939562	150	46785	SuperFamily	84.57	4	150	4.7e-27	88	147
2930939563	145	55729	SuperFamily	83.81	1	144	2.2e-27	90.2	144
2930939564	251	51269	SuperFamily	84.93	168	235	2.3e-03	12.1	68
2930939565	285	46689	SuperFamily	84.62	39	90	4.5e-05	16.9	52
2930939565	285	53098	SuperFamily	87.42	130	281	1.9e-30	99.6	152
2930939566	238	64518	SuperFamily	36.03	8	235	2.0e-01	5.1	228
2930939567	495	51735	SuperFamily	93.88	2	199	1.7e-60	197.6	198
