gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2930939444	451	8	449	0.0e+00	563.5	TIGR00362	chromosomal replication initiator protein DnaA
2930939445	379	1	378	4.1e-105	345.4	TIGR00663	DNA polymerase III, beta subunit
2930939447	75	4	63	3.1e-31	101.2	TIGR02988	S4 domain protein YaaA
2930939448	384	1	368	5.4e-126	414.3	TIGR00611	recF protein
2930939449	647	15	647	0.0e+00	973	TIGR01059	DNA gyrase, B subunit
2930939450	844	10	811	0.0e+00	1196.9	TIGR01063	DNA gyrase, A subunit
2930939452	98	3	98	2.7e-24	79	TIGR00166	ribosomal protein S6
2930939453	190	1	165	1.3e-46	152.7	TIGR00621	single stranded DNA-binding protein (ssb)
2930939454	78	8	77	1.7e-31	102.1	TIGR00165	ribosomal protein S18
2930939469	152	1	150	5.5e-45	147.2	TIGR00158	ribosomal protein L9
2930939472	462	10	457	0.0e+00	587.3	TIGR00665	replicative DNA helicase
2930939491	618	260	378	9.6e-07	22.8	TIGR00229	PAS domain S-box
2930939496	159	1	159	1.9e-56	184.1	TIGR00246	rRNA large subunit m3Psi methyltransferase RlmH
2930939519	424	218	420	3.2e-50	164.4	TIGR03062	YhgE/Pip C-terminal domain
2930939519	424	4	161	6.5e-34	110.7	TIGR03061	YhgE/Pip N-terminal domain
2930939529	81	3	81	3.9e-15	49.8	TIGR00369	uncharacterized domain 1
2930939530	273	12	269	1.7e-120	395.1	TIGR01929	naphthoate synthase (dihydroxynaphthoic acid synthetase)
2930939536	504	25	497	1.2e-92	305	TIGR01085	UDP-N-acetylmuramyl-tripeptide synthetase
2930939537	502	12	502	0.0e+00	662	TIGR00499	lysyl-tRNA synthetase, eukaryotic and non-spirochete bacterial
2930939545	501	6	500	0.0e+00	446.3	TIGR00910	glutamate:gamma-aminobutyrate antiporter
2930939546	479	20	460	0.0e+00	529.1	TIGR01788	glutamate decarboxylase
2930939547	503	10	502	0.0e+00	500.2	TIGR00464	glutamyl-tRNA synthetase, bacterial family
2930939556	187	1	187	1.9e-79	259.6	TIGR03137	peroxiredoxin
2930939561	480	7	478	0.0e+00	692.9	TIGR00873	6-phosphogluconate dehydrogenase (decarboxylating)
2930939567	495	5	492	0.0e+00	560.1	TIGR00871	glucose-6-phosphate 1-dehydrogenase
2930939582	489	8	478	1.6e-54	179.1	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2930939588	477	23	449	7.7e-80	262.6	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2930939598	778	70	481	6.0e-50	163.7	TIGR01494	ATPase, P-type (transporting), HAD superfamily, subfamily IC
2930939610	395	1	395	0.0e+00	458.8	TIGR00016	acetate kinase
2930939616	427	1	421	0.0e+00	599.9	TIGR01314	gluconate kinase, FGGY type
