gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2930942082	237	2	159	78	212	2.4e-17	57	pfam01609	DDE_Tnp_1	214
2930942084	120	16	106	1	89	6.0e-38	122.4	pfam01638	HxlR	91
2930942085	401	11	328	2	330	3.0e-38	125.3	pfam07690	MFS_1	353
2930942086	317	15	309	2	286	2.1e-55	181.6	pfam00248	Aldo_ket_red	292
2930942087	252	27	176	1	136	7.0e-35	114.3	pfam00005	ABC_tran	137
2930942088	603	58	180	4	119	4.1e-13	43.1	pfam02687	FtsX	121
2930942089	123	11	74	2	64	1.9e-14	46.8	pfam00392	GntR	64
2930942090	135	2	112	1	110	4.6e-29	94.6	pfam01521	Fe-S_biosyn	111
2930942091	443	169	299	4	121	2.4e-13	44.2	pfam05737	Collagen_bind	131
2930942092	602	84	296	2	221	1.5e-55	181.6	pfam00122	E1-E2_ATPase	221
2930942092	602	301	504	1	210	1.3e-35	117.3	pfam00702	Hydrolase	210
2930942093	227	72	190	1	119	1.9e-16	54.4	pfam09335	SNARE_assoc	120
2930942094	511	57	175	4	117	1.0e-22	74.1	pfam07732	Cu-oxidase_3	119
2930942094	511	337	468	2	134	8.2e-28	90.6	pfam07731	Cu-oxidase_2	137
2930942095	112	28	74	1	46	1.8e-14	47.2	pfam01022	HTH_5	47
2930942096	201	12	200	1	190	1.4e-57	188.4	pfam03596	Cad	192
2930942097	343	15	324	4	303	2.1e-66	217.5	pfam03601	Cons_hypoth698	304
2930942098	295	4	62	3	60	3.7e-18	59	pfam00126	HTH_1	60
2930942098	295	84	293	8	205	1.5e-35	116.2	pfam03466	LysR_substrate	209
2930942099	396	12	268	1	262	5.4e-50	163.9	pfam07690	MFS_1	353
2930942100	286	15	154	18	116	1.4e-08	28.5	pfam02311	AraC_binding	136
2930942100	286	199	278	1	81	1.2e-24	80.2	pfam12833	HTH_18	81
2930942101	543	17	184	1	137	7.1e-25	81.8	pfam00005	ABC_tran	137
2930942101	543	223	309	2	85	1.3e-22	73.4	pfam12848	ABC_tran_Xtn	85
2930942101	543	335	469	1	137	5.0e-16	53.2	pfam00005	ABC_tran	137
2930942102	260	22	252	1	210	1.3e-15	52.3	pfam12697	Abhydrolase_6	212
2930942103	317	58	312	2	254	3.5e-50	164.2	pfam04198	Sugar-bind	255
