gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2930939444	451	99.56	1	451	1	452	0.0e+00	1020	KO:K02313	chromosomal replication initiator protein		
2930939445	379	99.74	1	379	1	379	0.0e+00	834	KO:K02338	DNA polymerase III subunit beta [EC:2.7.7.7]	EC:2.7.7.7	
2930939448	384	100	1	384	1	384	0.0e+00	858	KO:K03629	DNA replication and repair protein RecF		
2930939449	647	100	1	647	1	647	0.0e+00	1480	KO:K02470	DNA gyrase subunit B [EC:5.99.1.3]	EC:5.99.1.3	
2930939450	844	100	1	844	1	844	0.0e+00	1880	KO:K02469	DNA gyrase subunit A [EC:5.99.1.3]	EC:5.99.1.3	
2930939451	306	100	1	306	1	306	0.0e+00	712	KO:K07482	transposase, IS30 family		
2930939452	98	100	1	98	1	98	4.4e-66	227	KO:K02990	small subunit ribosomal protein S6		
2930939453	190	99.34	1	152	1	152	5.0e-107	353	KO:K03111	single-strand DNA-binding protein		
2930939454	78	100	1	78	1	78	5.9e-49	176	KO:K02963	small subunit ribosomal protein S18		
2930939458	510	99.4	1	502	1	502	0.0e+00	1140	KO:K02035	peptide/nickel transport system substrate-binding protein		
2930939458	510	99.4	1	502	1	502	0.0e+00	1140	KO:K15580	oligopeptide transport system substrate-binding protein		
2930939464	533	99.81	1	533	1	533	0.0e+00	1220	KO:K02035	peptide/nickel transport system substrate-binding protein		
2930939464	533	99.81	1	533	1	533	0.0e+00	1220	KO:K15580	oligopeptide transport system substrate-binding protein		
2930939467	85	98.82	1	85	1	85	3.9e-54	191	KO:K07090	uncharacterized protein		
2930939469	152	100	1	152	1	152	6.2e-102	334	KO:K02939	large subunit ribosomal protein L9		
2930939472	462	98.7	1	462	1	462	0.0e+00	1010	KO:K02314	replicative DNA helicase [EC:3.6.4.12]	EC:3.6.4.12	
2930939480	536	99.25	1	536	1	536	0.0e+00	1220	KO:K15580	oligopeptide transport system substrate-binding protein		
2930939490	238	100	1	238	1	238	0.0e+00	545	KO:K07668	two-component system, OmpR family, response regulator VicR		
2930939491	618	99.84	1	618	1	618	0.0e+00	1380	KO:K07652	two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]	EC:2.7.13.3	
2930939495	447	98.43	1	447	1	447	0.0e+00	964	KO:K04771	serine protease Do [EC:3.4.21.107]	EC:3.4.21.107	
2930939496	159	99.37	1	159	1	159	2.8e-109	356	KO:K00783	23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]	EC:2.1.1.177	
2930939504	497	98.19	1	497	1	497	0.0e+00	1120	KO:K19350	lincosamide and streptogramin A transport system ATP-binding/permease protein		
2930939505	205	100	1	205	1	205	0.0e+00	461	KO:K06895	L-lysine exporter family protein LysE/ArgO		
2930939513	143	100	1	143	1	143	5.7e-102	333	KO:K03827	putative acetyltransferase [EC:2.3.1.-]	EC:2.3.1.-	
2930939517	264	99.62	1	264	1	264	0.0e+00	598	KO:K15580	oligopeptide transport system substrate-binding protein		
2930939521	313	99.68	1	313	1	313	0.0e+00	702	KO:K09936	bacterial/archaeal transporter family-2 protein		
2930939525	187	99.47	1	187	2	188	0.0e+00	433	KO:K09962	uncharacterized protein		
2930939530	273	100	1	273	1	273	0.0e+00	638	KO:K01661	naphthoate synthase [EC:4.1.3.36]	EC:4.1.3.36	
2930939536	504	99.6	1	504	1	504	0.0e+00	1140	KO:K01928	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]	EC:6.3.2.13	
2930939537	502	100	1	502	1	502	0.0e+00	1170	KO:K04567	lysyl-tRNA synthetase, class II [EC:6.1.1.6]	EC:6.1.1.6	
2930939543	211	99.53	1	211	1	211	0.0e+00	474	KO:K07118	uncharacterized protein		
2930939546	479	100	1	479	2	480	0.0e+00	1130	KO:K01580	glutamate decarboxylase [EC:4.1.1.15]	EC:4.1.1.15	
2930939547	503	100	1	503	1	503	0.0e+00	1170	KO:K09698	nondiscriminating glutamyl-tRNA synthetase [EC:6.1.1.24]	EC:6.1.1.24	
2930939553	428	100	1	428	1	428	0.0e+00	939	KO:K03309	dicarboxylate/amino acid:cation (Na+ or H+) symporter, DAACS family		
2930939553	428	100	1	428	1	428	0.0e+00	939	KO:K11102	proton glutamate symport protein		
2930939556	187	100	1	187	1	187	0.0e+00	441	KO:K03386	peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]	EC:1.11.1.15	
2930939561	480	100	1	480	1	480	0.0e+00	1100	KO:K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	EC:1.1.1.343	
2930939561	480	100	1	480	1	480	0.0e+00	1100	KO:K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	EC:1.1.1.44	
2930939563	145	100	1	145	1	145	6.8e-102	333	KO:K02348	ElaA protein		
2930939567	495	100	1	495	1	495	0.0e+00	1140	KO:K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	EC:1.1.1.363	
2930939567	495	100	1	495	1	495	0.0e+00	1140	KO:K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	EC:1.1.1.49	
2930939568	92	100	1	84	1	84	1.7e-56	199	KO:K00662	aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]	EC:2.3.1.81	
